Class,,{lc}{1},{lc}{2},{lc}{3},{lc}{4},{lc}{5},{lc}{6}
0,,7.67e-34,2.90e-34,9.09e-34,6.84e-35,3.13e-34,1.35e-36
10,,4.34e+01,1.71e+01,2.27e+01,5.36e-01,7.00e+00,4.36e-01
11,,6.41e+00,7.20e-01,5.86e+00,8.10e+00,6.54e+01,4.62e-01
12,,1.67e-03,6.40e-06,1.53e-02,6.85e-05,6.96e-02,2.52e-02
20,,2.95e-03,1.32e-01,2.58e-04,2.28e-02,6.36e-02,2.97e-03
30,,3.54e-01,4.06e-02,4.35e-01,5.83e-01,3.13e-02,3.80e-01
40,,8.36e-02,5.08e-03,3.07e-01,9.58e-05,2.46e-01,1.05e-01
50,,0.00e+00,3.01e-34,4.81e-33,2.77e-30,7.70e-32,1.23e-30
60,,1.84e-01,4.91e-01,6.49e+00,6.12e+01,3.45e-03,1.31e+00
61,,1.21e-04,6.93e-05,4.19e-06,1.43e-03,9.89e-05,5.24e-05
62,,4.04e-41,1.84e-38,4.23e-35,0.00e+00,0.00e+00,1.23e-30
70,,4.59e+01,2.44e+01,6.62e+00,3.54e+00,5.85e-03,2.85e+00
71,,5.64e-11,9.17e-11,1.12e-11,1.25e-11,4.80e-11,4.79e-10
72,,0.00e+00,2.74e-46,0.00e+00,1.84e-38,4.59e-39,3.01e-34
80,,1.41e-05,6.90e-07,9.66e-10,1.76e-06,2.09e-07,7.78e-06
81,,3.98e-57,2.61e-52,4.28e-48,0.00e+00,0.00e+00,7.35e-38
82,,0.00e+00,0.00e+00,4.18e-51,6.84e-47,6.84e-47,7.17e-41
90,,1.05e+00,6.90e-01,3.31e-01,8.27e+00,2.01e-02,7.52e-01
100,,8.89e-02,2.08e-02,9.54e-02,3.51e-02,2.48e-02,4.78e-02
110,,1.82e-02,4.76e-03,1.07e-02,4.45e-03,1.82e-02,2.46e-01
120,,1.10e-02,3.53e-01,6.47e-02,2.27e-04,7.52e-03,1.53e-01
121,,1.32e-80,3.45e-75,0.00e+00,2.37e-64,9.50e-64,1.02e-54
122,,1.56e-02,1.31e-02,3.05e-03,3.08e-03,4.34e-03,6.71e-01
130,,2.88e-01,3.07e+00,2.67e+01,1.60e+01,2.21e+01,1.94e+01
140,,1.12e-04,5.70e-03,6.71e-04,1.30e-03,3.27e-03,4.87e-02
150,,1.31e-01,4.39e+00,2.93e-01,1.30e+00,3.45e+00,5.20e+01
151,,3.00e-93,1.23e-89,1.81e-84,6.81e-81,1.08e-80,5.53e-74
152,,2.53e-04,3.69e-05,1.65e-05,2.25e-05,5.64e-06,2.87e-04
153,,2.57e-05,1.70e-05,1.49e-05,8.04e-05,2.01e-05,1.54e-04
160,,5.97e-05,1.07e-04,1.04e-04,2.47e-05,4.30e-05,4.22e-04
170,,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
180,,1.28e+00,2.45e-01,3.66e-02,1.77e-02,3.78e-02,2.67e-01
190,,3.76e-02,7.01e-03,2.54e-02,2.14e-02,1.18e-01,7.56e-03
200,,5.52e-01,4.83e+01,3.00e+01,1.53e-01,1.39e+00,9.21e+00
201,,4.02e-05,9.95e-06,1.26e-04,6.16e-08,1.47e-04,6.12e-05
202,,1.90e-04,1.61e-02,8.83e-03,8.67e-05,5.88e-04,1.87e-03
210,,2.50e-01,1.19e-02,1.47e-02,2.43e-01,8.46e-06,1.16e+01
220,,1.87e-04,4.15e-03,2.22e-07,1.12e-05,5.05e-04,1.48e-02
\% var,,23.44,18.56,13.26,11.06,10.36,5.81
