value,name,colour
0,no_data,#bf2bd6
10,cropland_rainfed,#ffff64
11,cropland_rainfed_herbaceous_cover,#ffff64
12,cropland_rainfed_tree_or_shrub_cover,#ffff00
20,cropland_irrigated,#aaf0f0
30,mosaic_cropland,#dcf064
40,mosaic_natural_vegetation,#c8c864
50,tree_broadleaved_evergreen_closed_to_open,#006400
60,tree_broadleaved_deciduous_closed_to_open,#00a000
61,tree_broadleaved_deciduous_closed,#00a000
62,tree_broadleaved_deciduous_open,#aac800
70,tree_needleleaved_evergreen_closed_to_open,#003c00
71,tree_needleleaved_evergreen_closed,#003c00
72,tree_needleleaved_evergreen_open,#005000
80,tree_needleleaved_deciduous_closed_to_open,#285000
81,tree_needleleaved_deciduous_closed,#285000
82,tree_needleleaved_deciduous_open,#286400
90,tree_mixed,#788200
100,mosaic_tree_and_shrub,#8ca000
110,mosaic_herbaceous,#be9600
120,shrubland,#966400
121,shrubland_evergreen,#966400
122,shrubland_deciduous,#966400
130,grassland,#ffb432
140,lichens_and_mosses,#ffdcd2
150,sparse_vegetation,#ffebaf
151,sparse_tree,#ffc864
152,sparse_shrub,#ffd278
153,sparse_herbaceous,#ffebaf
160,tree_cover_flooded_fresh_or_brakish_water,#00785a
170,tree_cover_flooded_saline_water,#009678
180,shrub_or_herbaceous_cover_flooded,#00dc82
190,urban,#c31400
200,bare_areas,#fff5d7
201,bare_areas_consolidated,#dcdcdc
202,bare_areas_unconsolidated,#fff5d7
210,water,#0046c8
220,snow_and_ice,#ffffff
